file_name,subject,data_type,n_epochs,n_channels,sfreq,tmin,tmax,epoch_duration_sec,n_times,duration_sec,n_events,unique_event_ids,status,error
sub-63_ses-2.set,sub-63,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1;2,ok,
sub-64_ses-1.set,sub-64,epochs,69,61,500.0,0.0,3.998,3.998,2000,4.0,69,1,ok,
sub-64_ses-2.set,sub-64,epochs,70,61,500.0,0.0,3.998,3.998,2000,4.0,70,1;2,ok,
sub-65_ses-1.set,sub-65,epochs,74,61,500.0,0.0,3.998,3.998,2000,4.0,74,1,ok,
sub-65_ses-2.set,sub-65,epochs,55,61,500.0,0.0,3.998,3.998,2000,4.0,55,1,ok,
sub-66_ses-1.set,sub-66,epochs,65,61,500.0,0.0,3.998,3.998,2000,4.0,65,1;2,ok,
sub-66_ses-2.set,sub-66,epochs,69,61,500.0,0.0,3.998,3.998,2000,4.0,69,1,ok,
sub-67_ses-1.set,sub-67,epochs,74,61,500.0,0.0,3.998,3.998,2000,4.0,74,1,ok,
sub-67_ses-2.set,sub-67,epochs,72,61,500.0,0.0,3.998,3.998,2000,4.0,72,1,ok,
sub-68_ses-1.set,sub-68,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-68_ses-2.set,sub-68,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1;2,ok,
sub-69_ses-1.set,sub-69,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1;2,ok,
sub-69_ses-2.set,sub-69,epochs,70,61,500.0,0.0,3.998,3.998,2000,4.0,70,1,ok,
sub-70_ses-1.set,sub-70,epochs,70,61,500.0,0.0,3.998,3.998,2000,4.0,70,1,ok,
sub-70_ses-2.set,sub-70,epochs,69,61,500.0,0.0,3.998,3.998,2000,4.0,69,1,ok,
sub-71_ses-1.set,sub-71,epochs,70,61,500.0,0.0,3.998,3.998,2000,4.0,70,1,ok,
sub-71_ses-2.set,sub-71,epochs,72,61,500.0,0.0,3.998,3.998,2000,4.0,72,1,ok,
