channel_name,channel_index,grid_row,grid_col,x_3d,y_3d,z_3d,x_2d_norm,y_2d_norm
Fp1,0,8,3,-0.026133000000000007,0.08078400000000002,-0.004001100000000001,0.34543728597029755,0.9753051263102899
AF3,1,8,2,-0.0314828,0.0761528,0.020846800000000006,0.31379608107548634,0.9480567466686749
AF7,2,8,1,-0.049709399999999994,0.0686911,-0.0059589000000000005,0.20599549317766472,0.9041546836241428
Fz,3,7,4,0.0,0.06073849999999999,0.059462900000000006,0.5,0.8573643346999099
F1,4,7,3,-0.026042099999999995,0.05991269999999999,0.05438080000000001,0.34597491083944004,0.8525056130061707
F3,5,7,1,-0.048200400000000004,0.0575511,0.0398697,0.21492042087332994,0.8386107750890784
F5,6,7,1,-0.0630582,0.0540379,0.0181264,0.12704448269131827,0.8179403209180381
F7,7,7,0,-0.06842329999999999,0.04987140000000001,-0.007489499999999999,0.0953127864818989,0.793426075414327
FC1,8,6,2,-0.032351399999999995,0.0324362,0.0715981,0.3086587767703473,0.6908433865372576
FC3,9,6,1,-0.059275,0.03095530000000001,0.052471399999999994,0.14942008670605705,0.6821302829331664
FC5,10,6,0,-0.0762474,0.028762799999999995,0.024166899999999998,0.049037420820099764,0.6692303709526342
FT7,11,5,0,-0.08041,0.026207500000000016,-0.008508600000000002,0.024417868781679473,0.6541958692040122
Cz,12,4,4,0.0,5.204748896376251e-18,0.085,0.5,0.5
C1,13,4,2,-0.034537399999999996,2.1148058180435895e-18,0.077667,0.2957297562648971,0.5
C3,14,4,1,-0.0631713,3.86812651714886e-18,0.0568717,0.12637555669901887,0.5
C5,15,4,0,-0.0808315,4.9495018872639646e-18,0.026291799999999994,0.021924921781200372,0.5
T7,16,4,0,-0.08453850000000002,5.176490171485927e-18,-0.008845100000000002,0.0,0.5
CP1,17,2,2,-0.032351399999999995,-0.032436200000000005,0.0715981,0.3086587767703473,0.30915661346274237
CP3,18,2,1,-0.059274999999999994,-0.030955300000000015,0.052471399999999994,0.1494200867060571,0.31786971706683353
CP5,19,2,0,-0.0762474,-0.0287628,0.024166899999999998,0.049037420820099764,0.3307696290473658
TP7,20,3,0,-0.08041,-0.02620750000000002,-0.008508600000000002,0.024417868781679473,0.3458041307959877
TP9,21,3,0,-0.07007580000000001,-0.02330160000000001,-0.042088200000000006,0.0855391330577193,0.3629014417306416
Pz,22,1,4,7.43832096100115e-18,-0.06073849999999999,0.059462900000000006,0.5000000000000001,0.14263566530009006
P1,23,1,3,-0.026042099999999995,-0.05991269999999999,0.05438080000000001,0.34597491083944004,0.14749438699382936
P3,24,1,1,-0.048200400000000004,-0.0575511,0.0398697,0.21492042087332994,0.16138922491092156
P5,25,1,1,-0.06305820000000002,-0.05403789999999997,0.0181264,0.1270444826913181,0.1820596790819619
P7,26,1,0,-0.06842329999999999,-0.049871399999999996,-0.007489499999999999,0.0953127864818989,0.20657392458567317
PO3,27,0,2,-0.03148280000000002,-0.07615279999999999,0.020846800000000006,0.31379608107548623,0.0519432533313252
PO7,28,0,1,-0.04970940000000001,-0.06869109999999999,-0.0059589000000000005,0.20599549317766463,0.0958453163758574
Oz,29,0,4,1.0407195456770108e-17,-0.08498120000000002,-0.0017860000000000003,0.5000000000000001,0.0
O1,30,0,3,-0.026132999999999993,-0.08078400000000002,-0.004001100000000001,0.34543728597029766,0.024694873689710177
Fpz,31,9,4,0.0,0.08498120000000002,-0.0017860000000000003,0.5,1.0
Fp2,32,8,5,0.026133000000000007,0.08078400000000002,-0.004001100000000001,0.6545627140297025,0.9753051263102899
AF4,33,8,6,0.0314828,0.0761528,0.020846800000000006,0.6862039189245137,0.9480567466686749
AF8,34,8,7,0.049668899999999995,0.0687209,-0.005953000000000001,0.793764970989549,0.904330016521301
F2,35,7,5,0.0260254,0.059874399999999994,0.05443099999999999,0.6539263175949419,0.8522802690477422
F4,36,7,7,0.0481426,0.057584,0.039892000000000004,0.7847377230492616,0.8388043473144648
F6,37,7,7,0.0630447,0.05402629999999999,0.0182076,0.8728756720310864,0.8178720705285403
F8,38,7,8,0.0683836,0.04992650000000001,-0.007485100000000001,0.9044524092573205,0.793750264764442
FC2,39,6,6,0.032351399999999995,0.0324362,0.0715981,0.6913412232296527,0.6908433865372576
FC4,40,6,7,0.059275,0.03095530000000001,0.052471399999999994,0.8505799132939429,0.6821302829331664
FC6,41,6,8,0.0762474,0.028762799999999995,0.024166899999999998,0.9509625791799003,0.6692303709526342
FT8,42,5,8,0.08041,0.026207500000000016,-0.008508600000000002,0.9755821312183205,0.6541958692040122
C2,43,4,6,0.034609199999999986,2.119202300052528e-18,0.0776351,0.7046949023226102,0.5
C4,44,4,7,0.0631673,3.8678815877890305e-18,0.0568761,0.8736007854409528,0.5
C6,45,4,8,0.0808315,4.9495018872639646e-18,0.026291799999999994,0.9780750782187996,0.5
T8,46,4,9,0.08453850000000002,5.176490171485927e-18,-0.008845100000000002,1.0,0.5
CPz,47,2,4,4.032504733764414e-18,-0.03292790000000001,0.07836300000000002,0.5,0.30626362065962826
CP2,48,2,6,0.032351399999999995,-0.032436200000000005,0.0715981,0.6913412232296527,0.30915661346274237
CP4,49,2,7,0.059274999999999994,-0.030955300000000015,0.052471399999999994,0.8505799132939429,0.31786971706683353
CP6,50,2,8,0.0762474,-0.0287628,0.024166899999999998,0.9509625791799003,0.3307696290473658
TP8,51,3,8,0.08038510000000001,-0.02628479999999999,-0.0085057,0.9754348610396446,0.34534932432114407
TP10,52,3,8,0.07007580000000001,-0.02330160000000001,-0.042088200000000006,0.9144608669422808,0.3629014417306416
P2,53,1,5,0.026025400000000025,-0.05987439999999999,0.05443099999999999,0.6539263175949421,0.14771973095225785
P4,54,1,7,0.04814260000000001,-0.057584,0.039892000000000004,0.7847377230492616,0.1611956526855352
P6,55,1,7,0.06304469999999998,-0.05402630000000001,0.0182076,0.8728756720310863,0.18212792947145956
P8,56,1,8,0.0683836,-0.049926500000000006,-0.007485100000000001,0.9044524092573205,0.206249735235558
POz,57,0,4,9.677832562601915e-18,-0.07902549999999998,0.031304399999999996,0.5000000000000001,0.035041279718337905
PO4,58,0,6,0.03148280000000002,-0.07615279999999999,0.020846800000000006,0.6862039189245137,0.0519432533313252
PO8,59,0,7,0.04966889999999998,-0.06872090000000002,-0.005953000000000001,0.793764970989549,0.09566998347869883
O2,60,0,5,0.026132999999999993,-0.08078400000000002,-0.004001100000000001,0.6545627140297023,0.024694873689710177
