session_block_order,batch_index,subject,seed,arm,session,block,block_span,is_final_batch_of_block,batch_n,rng_seed,rng_seed_payload,rng_seed_restored,model_training_flag_during_forward,dropout_active_during_forward,batch_mean_entropy,batch_marginal_q1,batch_pred_positive_frac,batch_mean_max_conf,batch_entropy_loss,batch_grad_norm,affine_drift_l2,affine_norm_l2,H_cond,q1,H_marg,dominant_share,mean_max_conf,pred_positive_frac,true_positive_frac,batch_accuracy,batch_balanced_accuracy
metadata_order,0,sub-01,0,tent_literal,ses-1,0,69,False,32,488329378,EEGTTA-PHASE1|v1|metadata_order|tent_literal|sub-01|0|0,1165772547,True,True,0.5799545049667358,0.5022885799407959,0.5,0.7026073932647705,0.5799545049667358,0.07396645843982697,0.008498222567141056,6.52688455581665,0.5799544723926123,0.502288568764925,0.6931367054293855,0.502288568764925,0.7026074528694153,0.5,0.0,0.5,nan
metadata_order,1,sub-01,0,tent_literal,ses-1,0,69,False,32,556621600,EEGTTA-PHASE1|v1|metadata_order|tent_literal|sub-01|0|1,488329378,True,True,0.6088635921478271,0.5069695711135864,0.53125,0.6741453409194946,0.6088635921478271,0.05335612967610359,0.014989769086241722,6.528935432434082,0.608863591831546,0.5069695459678769,0.6930500282717189,0.5069695459678769,0.6741453176364303,0.53125,0.0,0.46875,nan
metadata_order,2,sub-01,0,tent_literal,ses-1,0,69,True,5,1253614782,EEGTTA-PHASE1|v1|metadata_order|tent_literal|sub-01|0|2,556621600,True,True,0.6121626496315002,0.46606922149658203,0.6000000238418579,0.665631890296936,0.6121626496315002,0.1114737018942833,0.019496453925967216,6.530402660369873,0.6121626515582056,0.4660691797733307,0.6908428088498513,0.5339308202266693,0.6656318843364716,0.6,0.0,0.4,nan
metadata_order,3,sub-01,0,tent_literal,ses-2,1,54,False,32,823443717,EEGTTA-PHASE1|v1|metadata_order|tent_literal|sub-01|0|3,1253614782,True,True,0.5893280506134033,0.4799462556838989,0.375,0.6782546043395996,0.5893280506134033,0.06953546404838562,0.023911593481898308,6.531994819641113,0.5893280074448437,0.479946228209883,0.6923426572581893,0.520053771790117,0.6782546206377447,0.375,1.0,0.375,nan
metadata_order,4,sub-01,0,tent_literal,ses-2,1,54,True,22,1827781330,EEGTTA-PHASE1|v1|metadata_order|tent_literal|sub-01|0|4,823443717,True,True,0.6313673257827759,0.5059343576431274,0.5454545617103577,0.6403900980949402,0.6313673257827759,0.04631172865629196,0.028362108394503593,6.5337419509887695,0.6313672949905644,0.5059343840588223,0.6930767450778954,0.5059343840588223,0.6403900283304128,0.5454545454545454,1.0,0.5454545454545454,nan
metadata_order,0,sub-02,0,tent_literal,ses-1,0,70,False,32,50385786,EEGTTA-PHASE1|v1|metadata_order|tent_literal|sub-02|0|0,1051116656,True,True,0.5095816254615784,0.4627639055252075,0.4375,0.7601915597915649,0.5095816254615784,0.11176907271146774,0.008530626073479652,6.534054756164551,0.509581594568421,0.4627639240352437,0.6903715608799494,0.5372360759647563,0.760191582259722,0.4375,0.0,0.5625,nan
metadata_order,1,sub-02,0,tent_literal,ses-1,0,70,False,32,609733348,EEGTTA-PHASE1|v1|metadata_order|tent_literal|sub-02|0|1,50385786,True,True,0.5518852472305298,0.5127521753311157,0.4375,0.7281231880187988,0.5518852472305298,0.09266860783100128,0.014466156251728535,6.535904407501221,0.55188528762477,0.5127522135153413,0.6928219073917892,0.5127522135153413,0.7281231870874763,0.4375,0.0,0.5625,nan
metadata_order,2,sub-02,0,tent_literal,ses-1,0,70,True,6,1090946637,EEGTTA-PHASE1|v1|metadata_order|tent_literal|sub-02|0|2,609733348,True,True,0.5717120170593262,0.5444059371948242,0.5,0.7260755300521851,0.5717120170593262,0.1215045228600502,0.019046725705266,6.537550926208496,0.5717119799975725,0.5444059645136198,0.6891982002993717,0.5444059645136198,0.7260755226016045,0.5,0.0,0.5,nan
metadata_order,3,sub-02,0,tent_literal,ses-2,1,64,False,32,250188236,EEGTTA-PHASE1|v1|metadata_order|tent_literal|sub-02|0|3,1090946637,True,True,0.545979380607605,0.49346309900283813,0.5,0.7214734554290771,0.545979380607605,0.08867382258176804,0.023731311783194542,6.539087295532227,0.5459793976689927,0.4934630820644088,0.6930617155329672,0.5065369179355912,0.7214734760927968,0.5,1.0,0.5,nan
metadata_order,4,sub-02,0,tent_literal,ses-2,1,64,True,32,243982109,EEGTTA-PHASE1|v1|metadata_order|tent_literal|sub-02|0|4,250188236,True,True,0.5886876583099365,0.4883705973625183,0.53125,0.6853392124176025,0.5886876583099365,0.08891519159078598,0.028699597343802452,6.5403337478637695,0.5886876805664281,0.48837057559285313,0.6928766691428401,0.5116294244071469,0.6853392304619774,0.53125,1.0,0.53125,nan
